id,season,player_id,club,age,market_value,joined_date,signed_from,source,source_url,validation_status
sq23,2024/25,p36,Bengaluru FC,20,€50k,2023-06-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq24,2024/25,p37,Bengaluru FC,22,€75k,2023-06-01,TRAU FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq25,2023/24,p15,Bengaluru FC,34,€300k,2022-07-01,Odisha FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq26,2023/24,p22,Bengaluru FC,31,€225k,2023-07-01,ATK Mohun Bagan,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq27,2023/24,p24,Bengaluru FC,26,€300k,2023-08-01,FC Emmen,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq28,2023/24,p20,Bengaluru FC,26,€175k,2021-07-01,Kerala Blasters,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq29,2022/23,p17,Bengaluru FC,35,€450k,2022-07-01,ATK Mohun Bagan,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq30,2022/23,p18,Bengaluru FC,28,€400k,2021-08-01,Varzim SC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq31,2022/23,p19,Bengaluru FC,32,€350k,2021-07-01,Avaí FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq32,2021/22,p16,Bengaluru FC,34,€400k,2020-06-20,Suphanburi FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq33,2021/22,p26,Bengaluru FC,24,€250k,2019-07-01,FC Pune City,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq34,2021/22,p27,Bengaluru FC,25,€250k,2014-07-01,Tata Football Academy,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq35,2020/21,p39,Bengaluru FC,31,€175k,2020-09-01,Mumbai City FC,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq36,2020/21,p40,Bengaluru FC,23,€250k,2015-11-01,AIFF Elite Academy,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq37,2025/26,p03,Bengaluru FC,25,€325k,2019-07-01,Indian Arrows,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq38,2025/26,p04,Bengaluru FC,26,€275k,2020-09-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq39,2025/26,p05,Bengaluru FC,24,€225k,2021-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
sq40,2026/27,p35,Bengaluru FC,21,€200k,2024-07-01,Bengaluru FC II,Transfermarkt,https://www.transfermarkt.com/bengaluru-fc/kader/verein/41018,Verified
